INSERT INTO heroine (hospital_organization_name, address, city, state, zip_code) VALUES
('Davis Hospital', '9068 Reeves Cove', 'Travisview', 'NY', 10001),
('Lewis Medical Center', '8860 Mendez Views', 'North Victoriafurt', 'OH', 27501),
('Walker Hospital', '3790 Annette Bypass', 'South Brianton', 'OH', 10001),
('Hester Medical Center', '845 David Coves Suite 452', 'North Steven', 'CA', 10001),
('Gonzalez Clinic', '188 Gonzalez Harbor', 'West Jeffreystad', 'FL', 19101),
('Leonard Hospital', '6549 Jasmine Spring', 'Lake Sarah', 'NC', 73301),
('Barker HealthCare', '613 Deanna Glens Suite 578', 'Jimenezstad', 'PA', 30301),
('Richardson Clinic', '4896 Ford Cliff Suite 316', 'Lake Stephanieberg', 'NC', 73301),
('Clarke HealthCare', '67263 Ashley Drive', 'Lake Tiffany', 'MI', 19101),
('Baker Hospital', '79166 Wallace Islands Apt. 956', 'Mitchelltown', 'NY', 48201),
('Parks Medical Center', '03972 Robert Row Apt. 967', 'West Jessica', 'NC', 27501),
('Daniel HealthCare', '36517 Karen Turnpike', 'Cathyfurt', 'FL', 27501),
('Le HealthCare', '0633 Kevin Lake Suite 274', 'South Dylanview', 'CA', 33101),
('Hanson Clinic', '052 Marshall Pine', 'Juliaborough', 'MI', 48201),
('Mcneil HealthCare', '0520 Juarez Keys Apt. 010', 'Vaughnfort', 'GA', 19101),
('Pineda Medical Center', '9035 Hall Ville Apt. 223', 'Myersmouth', 'NY', 30301),
('Kelly Hospital', '8723 John Passage', 'Bryanberg', 'MI', 10001),
('Moody Medical Center', '85398 Lopez Pine Apt. 726', 'Lake Erictown', 'CA', 60601),
('Williams HealthCare', '189 Jesse Lane', 'Kiddfurt', 'NC', 10001),
('Goodman Clinic', '54010 Miller Rapids Suite 607', 'Molinaton', 'GA', 73301),
('Shepherd Hospital', '364 Michelle Mill', 'Wangton', 'PA', 44101),
('Holmes HealthCare', '23419 Laura Lodge Apt. 892', 'West Timothyview', 'OH', 10001),
('Boyd Hospital', '8765 Walker Forks', 'South Deborahfurt', 'GA', 30301),
('Bailey HealthCare', '70484 Peter Tunnel', 'Richardmouth', 'OH', 90001),
('Ferguson Medical Center', '2269 Tina Circles', 'Richardsonside', 'NC', 60601),
('White Hospital', '2347 Myers Place', 'Lake Brittany', 'GA', 10001),
('Petty HealthCare', '27477 Johnson Pines Apt. 718', 'Daviston', 'NY', 60601),
('Garcia Medical Center', '9777 White Tunnel Apt. 984', 'Langchester', 'PA', 10001),
('Robinson Hospital', '591 Bradley Roads', 'Juliabury', 'CA', 19101),
('Jones Medical Center', '9305 Nicole Viaduct Suite 664', 'North Brenda', 'FL', 30301),
('Klein Hospital', '5429 Katherine Fort Apt. 972', 'Russellside', 'IL', 44101),
('Lynch Clinic', '8387 Smith Cape', 'Port Paulborough', 'PA', 48201),
('Osborn HealthCare', '90106 Yates Squares', 'West Matthewbury', 'FL', 73301),
('Hoffman Hospital', '58601 Jennifer Brooks Apt. 557', 'Danielbury', 'IL', 10001),
('Thomas Clinic', '76728 Sullivan Avenue Apt. 919', 'North Lisachester', 'GA', 90001),
('Williams Medical Center', '4144 Munoz Cape Apt. 827', 'Bakerville', 'OH', 27501),
('Franklin Medical Center', '34387 Terri Prairie Suite 857', 'Stevenside', 'CA', 19101),
('Ball Medical Center', '3151 Clark Rapid', 'Hursttown', 'OH', 19101),
('Francis HealthCare', '0316 Shannon Ridges Apt. 247', 'Williamville', 'NY', 10001),
('Wilkerson Medical Center', '53076 Tammy Extensions Suite 612', 'Robertsview', 'TX', 48201),
('Lynch Medical Center', '24786 Ramos Grove', 'Davidstad', 'NY', 27501),
('King Medical Center', '066 Ramos Isle Suite 346', 'Lopezfort', 'CA', 90001),
('Taylor Hospital', '082 John Parkways', 'Lake Mary', 'NC', 90001),
('Cooke Hospital', '00723 Jasmine Place', 'Johnfort', 'IL', 33101),
('Chen Clinic', '8674 Tara Circles', 'Michaelchester', 'NC', 33101),
('Scott Clinic', '931 Carey Junctions', 'Wilkinston', 'GA', 90001),
('Williams HealthCare', '023 Philip Drives', 'Christopherside', 'OH', 27501),
('Oconnell Medical Center', '9354 Harper Land', 'Heatherland', 'FL', 27501),
('Watkins Medical Center', '0030 Johnny Cliff', 'South Michaelbury', 'FL', 60601),
('Logan Hospital', '552 Brendan Plaza Suite 710', 'New Ashleyview', 'NY', 60601),
('Graham Clinic', '9187 Melissa Lock Apt. 318', 'North Collinmouth', 'NC', 48201),
('Adams HealthCare', '8979 David Spurs', 'Flemingchester', 'PA', 10001),
('Chaney HealthCare', '51806 Lester Mountain', 'North Jasmine', 'GA', 30301),
('Long Medical Center', '4528 Laura Road', 'New Connor', 'CA', 19101),
('Drake Hospital', '50363 Pierce Fields Suite 792', 'East Anthony', 'NC', 27501),
('Garza Medical Center', '41124 Ashley Wall', 'Emilybury', 'TX', 90001),
('Rodgers HealthCare', '9486 Wells Mews Suite 778', 'East Andrew', 'NC', 60601),
('Carson Hospital', '2454 Mcdowell Roads Suite 541', 'North Rachel', 'IL', 44101),
('Blake Hospital', '908 Angela Knoll Apt. 563', 'New Catherine', 'FL', 73301),
('Brooks Hospital', '35542 Randall Coves Apt. 553', 'Williamchester', 'PA', 60601),
('Bond Clinic', '36266 Lara Lane', 'Sharonstad', 'IL', 30301),
('Krause HealthCare', '03557 Jessica Shoals', 'Leslieberg', 'FL', 44101),
('Williams Medical Center', '64650 Teresa Crescent Apt. 053', 'Port Catherine', 'IL', 60601),
('Russell Medical Center', '0710 Mitchell Orchard', 'Draketon', 'FL', 44101),
('Walsh Hospital', '3586 Hardin Station', 'Kaylaview', 'CA', 44101),
('Calhoun Medical Center', '69890 Jackson Square', 'North Juliaview', 'PA', 27501),
('Higgins Clinic', '40023 Gonzales Shores Suite 867', 'North Heidi', 'PA', 44101),
('Pham Medical Center', '980 Grant Fields', 'South Laurafort', 'OH', 90001),
('Riley Medical Center', '469 Jeffery Shores Apt. 896', 'North Katherine', 'NY', 30301),
('Morrow Medical Center', '436 Jodi Creek Suite 546', 'Charlesbury', 'PA', 33101),
('Rodriguez Medical Center', '63048 Kristin Terrace', 'Coltonland', 'CA', 90001),
('Williams HealthCare', '581 Alexander Valleys', 'Port Susan', 'NC', 60601),
('Torres Medical Center', '416 Dennis Fords', 'South Erinborough', 'NY', 10001),
('Dixon Hospital', '26623 Cameron Park', 'Parkerstad', 'NY', 60601),
('Owens Hospital', '421 Lee Pike', 'Acostabury', 'PA', 73301),
('Moore Clinic', '2310 Abbott Wells', 'Port Madison', 'IL', 44101),
('Murray Clinic', '37112 Stewart Rest Suite 434', 'Costatown', 'TX', 90001),
('Walker Hospital', '508 Massey Springs Suite 627', 'Port Douglaschester', 'CA', 73301);
